基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2114A6",景順新興市場企業債券基金A(歐元對沖)股 歐元,Invesco Emerging Market Corporate Bond Fund A(EUR Hgd) EUR,EUR,="LU0607516928",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2114AA",景順新興市場企業債券基金A股 美元,Invesco Emerging Market Corporate Bond Fund A USD,USD,="LU0607516688",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2114AF",景順新興市場企業債券基金A-固定月配息股 美元,Invesco Emerging Market Corporate Bond Fund A-MD-F USD,USD,="LU0607516332",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2114C6",景順新興市場企業債券基金C(歐元對沖)股 歐元,Invesco Emerging Market Corporate Bond Fund C(EUR Hgd) EUR,EUR,="LU0607517819",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2114CC",景順新興市場企業債券基金C股 美元,Invesco Emerging Market Corporate Bond Fund C USD,USD,="LU0607517579",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2120A7",景順日本小型企業基金 A(美元對沖)股 美元,Invesco Nippon Small/Mid Cap Equity Fund A(USD Hgd) USD,USD,="LU1075211273",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2120AA",景順日本小型企業基金A股 日圓,Invesco Nippon Small/Mid Cap Equity Fund A JPY,JPY,="LU0028119526",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2120AD",景順日本小型企業基金A-年配息股 美元,Invesco Nippon Small/Mid Cap Equity Fund A-AD USD,USD,="LU0607522496",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2120BB",景順日本小型企業基金B股 日圓,Invesco Nippon Small/Mid Cap Equity Fund B JPY,JPY,="LU0130709628",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2120CC",景順日本小型企業基金C股 日圓,Invesco Nippon Small/Mid Cap Equity Fund C JPY,JPY,="LU0100600799",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
